date,time,open,high,low,close
2024-08-05,00:00,1.09221,1.09228,1.09221,1.09228
2024-08-05,00:01,1.09221,1.09228,1.09217,1.09228
2024-08-05,00:02,1.09232,1.09232,1.09185,1.09187
2024-08-05,00:03,1.09181,1.09196,1.0918,1.09196
2024-08-05,00:04,1.09198,1.09198,1.09198,1.09198
2024-08-05,00:05,1.0919699999999999,1.09202,1.09189,1.09189
2024-08-05,00:06,1.09183,1.09189,1.09183,1.09184
2024-08-05,00:07,1.09183,1.09183,1.09179,1.09179
2024-08-05,00:08,1.09187,1.09194,1.09179,1.09179
2024-08-05,00:09,1.09187,1.09187,1.09183,1.09183
2024-08-05,00:10,1.09183,1.09227,1.09183,1.09225
2024-08-05,00:11,1.09225,1.09227,1.09183,1.09183
2024-08-05,00:12,1.09183,1.09201,1.09183,1.09196
2024-08-05,00:13,1.09196,1.09196,1.09196,1.09196
2024-08-05,00:14,1.0919699999999999,1.092,1.09196,1.09196
2024-08-05,00:15,1.09196,1.0919699999999999,1.09192,1.09193
2024-08-05,00:16,1.09194,1.09194,1.09192,1.09193
2024-08-05,00:17,1.09193,1.09195,1.09192,1.09194
2024-08-05,00:18,1.09194,1.09194,1.09193,1.09193
2024-08-05,00:19,1.09193,1.09193,1.09191,1.09193
2024-08-05,00:20,1.09193,1.09193,1.0919,1.0919
2024-08-05,00:21,1.09191,1.09194,1.09191,1.09194
2024-08-05,00:22,1.09194,1.09195,1.09191,1.09194
2024-08-05,00:23,1.09193,1.09194,1.09188,1.09193
2024-08-05,00:24,1.09193,1.09194,1.09192,1.09194
2024-08-05,00:25,1.09193,1.09194,1.09192,1.09193
2024-08-05,00:26,1.09193,1.09194,1.09193,1.09194
2024-08-05,00:27,1.09194,1.09194,1.09193,1.09193
2024-08-05,00:28,1.09193,1.09193,1.09193,1.09193
2024-08-05,00:29,1.09193,1.09194,1.09182,1.09191
2024-08-05,00:30,1.09186,1.09192,1.09186,1.09192
2024-08-05,00:31,1.09192,1.09192,1.09186,1.09186
2024-08-05,00:32,1.0919,1.09194,1.0919,1.09194
2024-08-05,00:33,1.09194,1.09194,1.09187,1.09187
2024-08-05,00:34,1.09187,1.0919,1.09186,1.0919
2024-08-05,00:35,1.09193,1.09195,1.09185,1.09188
2024-08-05,00:36,1.09204,1.09206,1.09187,1.09206
2024-08-05,00:37,1.09206,1.09206,1.09186,1.09195
2024-08-05,00:38,1.09201,1.09201,1.09191,1.09191
2024-08-05,00:39,1.09195,1.09202,1.09183,1.09202
2024-08-05,00:40,1.09202,1.09206,1.0919,1.09206
2024-08-05,00:41,1.09206,1.09206,1.09178,1.092
2024-08-05,00:42,1.0919699999999999,1.09205,1.09188,1.09201
2024-08-05,00:43,1.09201,1.09201,1.09199,1.09199
2024-08-05,00:44,1.09199,1.09199,1.09187,1.0919
2024-08-05,00:45,1.0919,1.09199,1.0919,1.0919699999999999
2024-08-05,00:46,1.09191,1.09199,1.09191,1.0919699999999999
2024-08-05,00:47,1.0919699999999999,1.09198,1.09192,1.09198
2024-08-05,00:48,1.09196,1.09202,1.09195,1.092
2024-08-05,00:49,1.09194,1.0919699999999999,1.09188,1.09188
2024-08-05,00:50,1.09188,1.09194,1.09188,1.09194
2024-08-05,00:51,1.09194,1.092,1.09194,1.0919699999999999
2024-08-05,00:52,1.0919699999999999,1.0919699999999999,1.09195,1.09196
2024-08-05,00:53,1.09196,1.0919699999999999,1.09194,1.0919699999999999
2024-08-05,00:54,1.0919699999999999,1.092,1.0919699999999999,1.0919699999999999
2024-08-05,00:55,1.0919699999999999,1.092,1.09196,1.09198
2024-08-05,00:56,1.09198,1.09198,1.0919699999999999,1.0919699999999999
2024-08-05,00:57,1.092,1.092,1.09187,1.09188
2024-08-05,00:58,1.09189,1.09193,1.09189,1.0919
2024-08-05,00:59,1.09191,1.09191,1.0919,1.0919
2024-08-05,01:00,1.09198,1.09206,1.09173,1.09193
2024-08-05,01:01,1.09194,1.09203,1.0913,1.09143
2024-08-05,01:02,1.09143,1.09145,1.09098,1.09099
2024-08-05,01:03,1.09102,1.09116,1.0909200000000001,1.0909200000000001
2024-08-05,01:04,1.09096,1.09113,1.0909200000000001,1.09111
2024-08-05,01:05,1.09111,1.09117,1.09104,1.09105
2024-08-05,01:06,1.09105,1.09113,1.09094,1.09109
2024-08-05,01:07,1.09109,1.09127,1.09109,1.09121
2024-08-05,01:08,1.09121,1.09129,1.09118,1.09126
2024-08-05,01:09,1.09124,1.09125,1.09112,1.09114
2024-08-05,01:10,1.09109,1.09118,1.09102,1.09115
2024-08-05,01:11,1.09115,1.09121,1.09115,1.09119
2024-08-05,01:12,1.09117,1.0912,1.09117,1.09119
2024-08-05,01:13,1.09119,1.0912,1.09114,1.09114
2024-08-05,01:14,1.09114,1.09117,1.09114,1.09116
2024-08-05,01:15,1.09118,1.09118,1.09115,1.09116
2024-08-05,01:16,1.09117,1.09117,1.09085,1.09091
2024-08-05,01:17,1.09091,1.09093,1.09086,1.09089
2024-08-05,01:18,1.09086,1.09093,1.09085,1.09089
2024-08-05,01:19,1.0909,1.09093,1.09086,1.09089
2024-08-05,01:20,1.09087,1.09093,1.09086,1.09089
2024-08-05,01:21,1.09086,1.0909,1.09082,1.09086
2024-08-05,01:22,1.09086,1.09093,1.09081,1.09086
2024-08-05,01:23,1.09087,1.09088,1.09082,1.09086
2024-08-05,01:24,1.09084,1.09086,1.09081,1.09081
2024-08-05,01:25,1.09081,1.09088,1.0907,1.09071
2024-08-05,01:26,1.09071,1.09074,1.09067,1.09069
2024-08-05,01:27,1.0907,1.09074,1.09067,1.09067
2024-08-05,01:28,1.09069,1.09071,1.09059,1.09066
2024-08-05,01:29,1.09062,1.09068,1.0906,1.09066
2024-08-05,01:30,1.09063,1.09065,1.09056,1.09059
2024-08-05,01:31,1.09058,1.09069,1.09058,1.09063
2024-08-05,01:32,1.09063,1.09063,1.09054,1.09055
2024-08-05,01:33,1.09055,1.09062,1.09053,1.09061
2024-08-05,01:34,1.0906,1.09062,1.09056,1.09062
2024-08-05,01:35,1.09064,1.09064,1.09057,1.09059
2024-08-05,01:36,1.09058,1.09058,1.09054,1.09055
2024-08-05,01:37,1.09055,1.09056,1.09046,1.09047
2024-08-05,01:38,1.09047,1.0905,1.09042,1.09042
2024-08-05,01:39,1.09042,1.09045,1.09039,1.09044
2024-08-05,01:40,1.09045,1.09051,1.09045,1.09045
2024-08-05,01:41,1.09045,1.09061,1.09045,1.09057
2024-08-05,01:42,1.09057,1.09057,1.09052,1.09053
2024-08-05,01:43,1.09053,1.09055,1.09049,1.09052
2024-08-05,01:44,1.09053,1.09053,1.09049,1.09051
2024-08-05,01:45,1.09051,1.09055,1.09049,1.09055
2024-08-05,01:46,1.09055,1.09056,1.09046,1.09047
2024-08-05,01:47,1.09048,1.09051,1.09045,1.09047
2024-08-05,01:48,1.09046,1.09049,1.09046,1.09047
2024-08-05,01:49,1.09047,1.09047,1.09041,1.09043
2024-08-05,01:50,1.09044,1.09044,1.09042,1.09043
2024-08-05,01:51,1.09042,1.09043,1.0903,1.0903
2024-08-05,01:52,1.0903,1.09036,1.09029,1.09036
2024-08-05,01:53,1.09036,1.09036,1.09032,1.09034
2024-08-05,01:54,1.09034,1.09039,1.0903100000000001,1.09039
2024-08-05,01:55,1.09039,1.09048,1.09038,1.09046
2024-08-05,01:56,1.09046,1.09047,1.09039,1.09039
2024-08-05,01:57,1.0904,1.09045,1.09039,1.09044
2024-08-05,01:58,1.09044,1.09049,1.09043,1.09048
2024-08-05,01:59,1.09046,1.09063,1.09046,1.09062
2024-08-05,02:00,1.09062,1.09068,1.0906,1.09061
2024-08-05,02:01,1.09061,1.0907,1.09059,1.0907
2024-08-05,02:02,1.0907,1.09082,1.09067,1.09079
2024-08-05,02:03,1.09079,1.09085,1.09078,1.09079
2024-08-05,02:04,1.09079,1.09083,1.09074,1.09079
2024-08-05,02:05,1.09079,1.09079,1.09072,1.0907499999999999
2024-08-05,02:06,1.0907499999999999,1.0907499999999999,1.09069,1.0907
2024-08-05,02:07,1.09069,1.0909,1.09069,1.09086
2024-08-05,02:08,1.09086,1.09086,1.09073,1.0907499999999999
2024-08-05,02:09,1.0907499999999999,1.0907499999999999,1.09071,1.09072
2024-08-05,02:10,1.09072,1.09082,1.09067,1.0908
2024-08-05,02:11,1.09079,1.0909,1.09078,1.09088
2024-08-05,02:12,1.09083,1.09084,1.09077,1.0908
2024-08-05,02:13,1.0908,1.0908,1.09076,1.09077
2024-08-05,02:14,1.09077,1.09081,1.09076,1.09081
2024-08-05,02:15,1.09079,1.09082,1.09077,1.09082
2024-08-05,02:16,1.09082,1.09084,1.09079,1.09079
2024-08-05,02:17,1.09079,1.09082,1.09078,1.0908
2024-08-05,02:18,1.0908,1.09085,1.09077,1.09084
2024-08-05,02:19,1.09084,1.09099,1.09084,1.09093
2024-08-05,02:20,1.09093,1.091,1.0909200000000001,1.09094
2024-08-05,02:21,1.09093,1.09095,1.09091,1.09093
2024-08-05,02:22,1.09093,1.09094,1.09085,1.09086
2024-08-05,02:23,1.09085,1.09086,1.09073,1.09076
2024-08-05,02:24,1.09076,1.09077,1.09054,1.09068
2024-08-05,02:25,1.09067,1.09068,1.09062,1.09063
2024-08-05,02:26,1.09063,1.09071,1.09062,1.0907
2024-08-05,02:27,1.0907,1.09078,1.0907,1.09074
2024-08-05,02:28,1.0907499999999999,1.0907499999999999,1.09067,1.09068
2024-08-05,02:29,1.09068,1.09074,1.09065,1.09073
2024-08-05,02:30,1.09073,1.09074,1.09065,1.09066
2024-08-05,02:31,1.09063,1.09098,1.09062,1.09098
2024-08-05,02:32,1.09098,1.09098,1.09076,1.09078
