time,open,high,low,close
2025-01-13 16:00:00,160.465,160.501,160.449,160.466
2025-01-13 16:01:00,160.469,160.528,160.462,160.489
2025-01-13 16:02:00,160.494,160.502,160.474,160.498
2025-01-13 16:03:00,160.496,160.5,160.466,160.473
2025-01-13 16:04:00,160.47,160.478,160.439,160.444
2025-01-13 16:05:00,160.443,160.446,160.345,160.349
2025-01-13 16:06:00,160.35,160.367,160.337,160.345
2025-01-13 16:07:00,160.343,160.356,160.341,160.354
2025-01-13 16:08:00,160.352,160.36,160.314,160.337
2025-01-13 16:09:00,160.338,160.347,160.319,160.331
2025-01-13 16:10:00,160.335,160.365,160.325,160.344
2025-01-13 16:11:00,160.341,160.36,160.334,160.348
2025-01-13 16:12:00,160.349,160.362,160.337,160.339
2025-01-13 16:13:00,160.337,160.38,160.326,160.355
2025-01-13 16:14:00,160.356,160.366,160.336,160.357
2025-01-13 16:15:00,160.364,160.377,160.339,160.373
2025-01-13 16:16:00,160.373,160.388,160.35,160.37
2025-01-13 16:17:00,160.369,160.41,160.347,160.41
2025-01-13 16:18:00,160.409,160.47,160.409,160.46
2025-01-13 16:19:00,160.461,160.461,160.383,160.387
2025-01-13 16:20:00,160.389,160.458,160.38,160.447
2025-01-13 16:21:00,160.444,160.485,160.427,160.476
2025-01-13 16:22:00,160.478,160.478,160.442,160.464
2025-01-13 16:23:00,160.463,160.48,160.461,160.463
2025-01-13 16:24:00,160.464,160.471,160.421,160.421
2025-01-13 16:25:00,160.422,160.45,160.421,160.431
2025-01-13 16:26:00,160.433,160.481,160.433,160.479
2025-01-13 16:27:00,160.483,160.516,160.483,160.497
2025-01-13 16:28:00,160.496,160.505,160.48,160.495
2025-01-13 16:29:00,160.494,160.507,160.488,160.488
2025-01-13 16:30:00,160.489,160.489,160.419,160.421
2025-01-13 16:31:00,160.422,160.475,160.422,160.474
2025-01-13 16:32:00,160.472,160.527,160.472,160.521
2025-01-13 16:33:00,160.521,160.556,160.5,160.554
2025-01-13 16:34:00,160.553,160.612,160.551,160.597
2025-01-13 16:35:00,160.593,160.604,160.577,160.602
2025-01-13 16:36:00,160.603,160.664,160.599,160.599
2025-01-13 16:37:00,160.599,160.6,160.545,160.555
2025-01-13 16:38:00,160.549,160.557,160.51,160.52
2025-01-13 16:39:00,160.519,160.519,160.486,160.488
2025-01-13 16:40:00,160.487,160.493,160.428,160.43
2025-01-13 16:41:00,160.431,160.435,160.4,160.405
2025-01-13 16:42:00,160.405,160.405,160.368,160.384
2025-01-13 16:43:00,160.388,160.454,160.388,160.452
2025-01-13 16:44:00,160.452,160.461,160.438,160.458
2025-01-13 16:45:00,160.457,160.467,160.415,160.422
2025-01-13 16:46:00,160.424,160.452,160.414,160.452
2025-01-13 16:47:00,160.452,160.476,160.446,160.457
2025-01-13 16:48:00,160.458,160.458,160.438,160.444
2025-01-13 16:49:00,160.444,160.448,160.437,160.448
