time,open,high,low,close
2025-01-13 00:00:00,161.182,161.182,161.182,161.182
2025-01-13 00:01:00,161.377,161.448,161.334,161.448
2025-01-13 00:02:00,161.406,161.406,161.352,161.352
2025-01-13 00:03:00,161.412,161.412,161.343,161.343
2025-01-13 00:04:00,161.345,161.345,161.345,161.345
2025-01-13 00:05:00,161.446,161.449,161.345,161.353
2025-01-13 00:06:00,161.377,161.457,161.344,161.455
2025-01-13 00:07:00,161.448,161.458,161.344,161.379
2025-01-13 00:08:00,161.377,161.475,161.346,161.384
2025-01-13 00:09:00,161.384,161.478,161.377,161.399
2025-01-13 00:10:00,161.399,161.421,161.377,161.418
2025-01-13 00:11:00,161.495,161.496,161.397,161.403
2025-01-13 00:12:00,161.403,161.439,161.403,161.42
2025-01-13 00:13:00,161.421,161.503,161.421,161.498
2025-01-13 00:14:00,161.489,161.491,161.463,161.491
2025-01-13 00:15:00,161.594,161.594,161.567,161.567
2025-01-13 00:16:00,161.558,161.584,161.558,161.584
2025-01-13 00:17:00,161.576,161.588,161.545,161.588
2025-01-13 00:18:00,161.554,161.589,161.535,161.589
2025-01-13 00:19:00,161.588,161.588,161.554,161.558
2025-01-13 00:20:00,161.563,161.588,161.525,161.569
2025-01-13 00:21:00,161.558,161.569,161.515,161.564
2025-01-13 00:22:00,161.545,161.584,161.541,161.584
2025-01-13 00:23:00,161.552,161.607,161.552,161.607
2025-01-13 00:24:00,161.552,161.563,161.523,161.525
2025-01-13 00:25:00,161.607,161.607,161.558,161.584
2025-01-13 00:26:00,161.588,161.588,161.588,161.588
2025-01-13 00:27:00,161.576,161.588,161.541,161.588
2025-01-13 00:28:00,161.561,161.588,161.522,161.522
2025-01-13 00:29:00,161.53,161.531,161.495,161.495
2025-01-13 00:30:00,161.546,161.551,161.546,161.551
2025-01-13 00:31:00,161.486,161.559,161.484,161.559
2025-01-13 00:32:00,161.527,161.56,161.526,161.551
2025-01-13 00:33:00,161.497,161.553,161.497,161.546
2025-01-13 00:34:00,161.551,161.563,161.551,161.563
2025-01-13 00:35:00,161.56,161.56,161.556,161.558
2025-01-13 00:36:00,161.551,161.551,161.529,161.529
2025-01-13 00:37:00,161.529,161.545,161.527,161.542
2025-01-13 00:38:00,161.538,161.555,161.538,161.555
2025-01-13 00:39:00,161.562,161.565,161.561,161.563
2025-01-13 00:40:00,161.565,161.574,161.561,161.561
2025-01-13 00:41:00,161.556,161.56,161.55,161.556
2025-01-13 00:42:00,161.556,161.561,161.547,161.556
2025-01-13 00:43:00,161.551,161.558,161.517,161.539
2025-01-13 00:44:00,161.534,161.535,161.523,161.525
2025-01-13 00:45:00,161.525,161.525,161.525,161.525
2025-01-13 00:46:00,161.525,161.53,161.517,161.53
2025-01-13 00:47:00,161.524,161.532,161.522,161.532
2025-01-13 00:48:00,161.529,161.532,161.527,161.532
2025-01-13 00:49:00,161.532,161.532,161.528,161.532
2025-01-13 00:50:00,161.532,161.532,161.529,161.532
2025-01-13 00:51:00,161.529,161.529,161.525,161.529
2025-01-13 00:52:00,161.529,161.535,161.527,161.531
2025-01-13 00:53:00,161.538,161.538,161.538,161.538
2025-01-13 00:54:00,161.538,161.55,161.538,161.548
2025-01-13 00:55:00,161.548,161.562,161.542,161.547
2025-01-13 00:56:00,161.563,161.563,161.546,161.553
2025-01-13 00:57:00,161.553,161.558,161.549,161.552
2025-01-13 00:58:00,161.552,161.558,161.549,161.554
2025-01-13 00:59:00,161.558,161.585,161.558,161.581
2025-01-13 01:00:00,161.581,161.601,161.543,161.56
2025-01-13 01:01:00,161.551,161.568,161.54,161.566
2025-01-13 01:02:00,161.566,161.596,161.56,161.596
2025-01-13 01:03:00,161.593,161.616,161.581,161.616
2025-01-13 01:04:00,161.61,161.618,161.593,161.595
2025-01-13 01:05:00,161.583,161.583,161.567,161.574
2025-01-13 01:06:00,161.574,161.591,161.562,161.566
2025-01-13 01:07:00,161.56,161.573,161.546,161.566
2025-01-13 01:08:00,161.567,161.578,161.567,161.573
2025-01-13 01:09:00,161.573,161.586,161.573,161.575
2025-01-13 01:10:00,161.585,161.604,161.576,161.586
2025-01-13 01:11:00,161.585,161.597,161.583,161.589
2025-01-13 01:12:00,161.588,161.605,161.582,161.587
2025-01-13 01:13:00,161.587,161.6,161.572,161.572
2025-01-13 01:14:00,161.574,161.581,161.57,161.576
2025-01-13 01:15:00,161.576,161.592,161.576,161.592
2025-01-13 01:16:00,161.592,161.617,161.592,161.605
2025-01-13 01:17:00,161.605,161.617,161.605,161.617
2025-01-13 01:18:00,161.616,161.635,161.615,161.629
2025-01-13 01:19:00,161.627,161.636,161.612,161.619
2025-01-13 01:20:00,161.618,161.629,161.618,161.625
2025-01-13 01:21:00,161.625,161.626,161.615,161.615
2025-01-13 01:22:00,161.615,161.625,161.615,161.625
2025-01-13 01:23:00,161.625,161.628,161.625,161.628
2025-01-13 01:24:00,161.626,161.631,161.625,161.625
2025-01-13 01:25:00,161.626,161.626,161.605,161.605
2025-01-13 01:26:00,161.611,161.62,161.611,161.619
2025-01-13 01:27:00,161.625,161.626,161.614,161.616
2025-01-13 01:28:00,161.616,161.625,161.614,161.624
2025-01-13 01:29:00,161.624,161.634,161.624,161.625
2025-01-13 01:30:00,161.626,161.655,161.626,161.655
2025-01-13 01:31:00,161.649,161.652,161.639,161.645
2025-01-13 01:32:00,161.645,161.662,161.644,161.662
2025-01-13 01:33:00,161.667,161.667,161.654,161.655
2025-01-13 01:34:00,161.654,161.671,161.654,161.663
2025-01-13 01:35:00,161.663,161.663,161.647,161.648
2025-01-13 01:36:00,161.651,161.67,161.651,161.665
2025-01-13 01:37:00,161.667,161.667,161.653,161.656
2025-01-13 01:38:00,161.658,161.666,161.657,161.665
2025-01-13 01:39:00,161.665,161.665,161.655,161.656
2025-01-13 01:40:00,161.654,161.657,161.652,161.657
2025-01-13 01:41:00,161.656,161.667,161.656,161.661
2025-01-13 01:42:00,161.661,161.667,161.659,161.666
2025-01-13 01:43:00,161.669,161.674,161.666,161.673
2025-01-13 01:44:00,161.673,161.674,161.66,161.662
2025-01-13 01:45:00,161.66,161.677,161.66,161.677
2025-01-13 01:46:00,161.677,161.701,161.677,161.701
2025-01-13 01:47:00,161.701,161.712,161.691,161.691
2025-01-13 01:48:00,161.692,161.692,161.675,161.678
2025-01-13 01:49:00,161.679,161.679,161.638,161.648
2025-01-13 01:50:00,161.649,161.654,161.646,161.65
2025-01-13 01:51:00,161.65,161.65,161.642,161.648
2025-01-13 01:52:00,161.648,161.673,161.648,161.669
2025-01-13 01:53:00,161.67,161.694,161.669,161.689
2025-01-13 01:54:00,161.684,161.702,161.679,161.689
2025-01-13 01:55:00,161.691,161.706,161.686,161.706
2025-01-13 01:56:00,161.704,161.728,161.698,161.724
2025-01-13 01:57:00,161.724,161.74,161.704,161.74
2025-01-13 01:58:00,161.74,161.769,161.735,161.749
2025-01-13 01:59:00,161.749,161.754,161.722,161.741
2025-01-13 02:00:00,161.736,161.779,161.728,161.769
2025-01-13 02:01:00,161.77,161.774,161.688,161.688
2025-01-13 02:02:00,161.682,161.695,161.643,161.694
2025-01-13 02:03:00,161.692,161.705,161.686,161.698
2025-01-13 02:04:00,161.698,161.698,161.66,161.66
2025-01-13 02:05:00,161.663,161.669,161.618,161.62
2025-01-13 02:06:00,161.621,161.652,161.62,161.647
2025-01-13 02:07:00,161.646,161.647,161.628,161.642
2025-01-13 02:08:00,161.649,161.664,161.64,161.64
2025-01-13 02:09:00,161.641,161.665,161.625,161.661
2025-01-13 02:10:00,161.664,161.693,161.65,161.692
2025-01-13 02:11:00,161.693,161.693,161.671,161.671
2025-01-13 02:12:00,161.672,161.687,161.672,161.687
2025-01-13 02:13:00,161.687,161.701,161.685,161.698
2025-01-13 02:14:00,161.7,161.703,161.683,161.693
2025-01-13 02:15:00,161.695,161.695,161.643,161.649
2025-01-13 02:16:00,161.646,161.699,161.64,161.697
2025-01-13 02:17:00,161.696,161.699,161.693,161.693
2025-01-13 02:18:00,161.693,161.707,161.692,161.699
2025-01-13 02:19:00,161.7,161.713,161.692,161.713
2025-01-13 02:20:00,161.739,161.76,161.739,161.76
2025-01-13 02:21:00,161.762,161.762,161.744,161.744
2025-01-13 02:22:00,161.745,161.745,161.73,161.735
2025-01-13 02:23:00,161.734,161.734,161.725,161.725
2025-01-13 02:24:00,161.722,161.748,161.715,161.74
2025-01-13 02:25:00,161.739,161.75,161.733,161.733
2025-01-13 02:26:00,161.734,161.739,161.723,161.723
2025-01-13 02:27:00,161.723,161.727,161.708,161.726
2025-01-13 02:28:00,161.726,161.727,161.726,161.726
2025-01-13 02:29:00,161.727,161.729,161.712,161.722
2025-01-13 02:30:00,161.722,161.742,161.719,161.735
2025-01-13 02:31:00,161.733,161.742,161.729,161.729
2025-01-13 02:32:00,161.728,161.733,161.728,161.733
2025-01-13 02:33:00,161.73,161.73,161.707,161.714
2025-01-13 02:34:00,161.723,161.726,161.718,161.724
2025-01-13 02:35:00,161.713,161.717,161.711,161.715
2025-01-13 02:36:00,161.716,161.734,161.713,161.719
2025-01-13 02:37:00,161.715,161.747,161.713,161.736
2025-01-13 02:38:00,161.735,161.736,161.719,161.726
2025-01-13 02:39:00,161.726,161.726,161.701,161.701
2025-01-13 02:40:00,161.7,161.7,161.683,161.689
2025-01-13 02:41:00,161.689,161.712,161.685,161.701
2025-01-13 02:42:00,161.706,161.706,161.695,161.696
2025-01-13 02:43:00,161.696,161.696,161.679,161.68
2025-01-13 02:44:00,161.68,161.681,161.67,161.678
2025-01-13 02:45:00,161.68,161.68,161.66,161.675
2025-01-13 02:46:00,161.673,161.673,161.639,161.644
2025-01-13 02:47:00,161.644,161.644,161.631,161.639
2025-01-13 02:48:00,161.64,161.652,161.639,161.644
2025-01-13 02:49:00,161.645,161.646,161.61,161.635
2025-01-13 02:50:00,161.631,161.637,161.608,161.62
2025-01-13 02:51:00,161.621,161.632,161.617,161.628
2025-01-13 02:52:00,161.626,161.632,161.607,161.631
2025-01-13 02:53:00,161.63,161.642,161.622,161.641
2025-01-13 02:54:00,161.642,161.666,161.623,161.664
2025-01-13 02:55:00,161.664,161.675,161.612,161.625
2025-01-13 02:56:00,161.627,161.65,161.627,161.631
2025-01-13 02:57:00,161.63,161.638,161.609,161.622
2025-01-13 02:58:00,161.622,161.627,161.612,161.626
2025-01-13 02:59:00,161.625,161.63,161.6,161.605
2025-01-13 03:00:00,161.606,161.608,161.581,161.586
2025-01-13 03:01:00,161.586,161.631,161.586,161.63
2025-01-13 03:02:00,161.63,161.649,161.619,161.648
2025-01-13 03:03:00,161.647,161.671,161.647,161.666
2025-01-13 03:04:00,161.668,161.682,161.657,161.682
2025-01-13 03:05:00,161.683,161.686,161.662,161.686
2025-01-13 03:06:00,161.683,161.688,161.671,161.677
2025-01-13 03:07:00,161.678,161.7,161.677,161.689
2025-01-13 03:08:00,161.689,161.689,161.643,161.645
2025-01-13 03:09:00,161.646,161.659,161.634,161.641
2025-01-13 03:10:00,161.645,161.649,161.631,161.64
2025-01-13 03:11:00,161.639,161.67,161.637,161.652
2025-01-13 03:12:00,161.65,161.674,161.645,161.661
2025-01-13 03:13:00,161.663,161.675,161.657,161.667
2025-01-13 03:14:00,161.667,161.69,161.667,161.69
2025-01-13 03:15:00,161.69,161.69,161.66,161.666
2025-01-13 03:16:00,161.666,161.693,161.666,161.688
2025-01-13 03:17:00,161.691,161.693,161.65,161.666
2025-01-13 03:18:00,161.668,161.689,161.641,161.643
2025-01-13 03:19:00,161.644,161.645,161.622,161.623
2025-01-13 03:20:00,161.623,161.646,161.621,161.634
2025-01-13 03:21:00,161.63,161.636,161.622,161.625
2025-01-13 03:22:00,161.625,161.629,161.617,161.617
2025-01-13 03:23:00,161.618,161.634,161.608,161.608
2025-01-13 03:24:00,161.606,161.607,161.58,161.585
2025-01-13 03:25:00,161.587,161.595,161.543,161.543
2025-01-13 03:26:00,161.53,161.548,161.525,161.537
2025-01-13 03:27:00,161.529,161.546,161.525,161.525
