time,open,high,low,close
2025-02-03 16:00:00,1.02634,1.0264199999999999,1.02616,1.02617
2025-02-03 16:01:00,1.02615,1.02623,1.02606,1.02607
2025-02-03 16:02:00,1.02608,1.02608,1.02569,1.02578
2025-02-03 16:03:00,1.02577,1.02582,1.02551,1.02554
2025-02-03 16:04:00,1.02556,1.02557,1.02531,1.02536
2025-02-03 16:05:00,1.02533,1.02539,1.02526,1.02528
2025-02-03 16:06:00,1.02532,1.0256,1.02532,1.0256
2025-02-03 16:07:00,1.02558,1.02563,1.02539,1.02558
2025-02-03 16:08:00,1.02559,1.02562,1.02543,1.02544
2025-02-03 16:09:00,1.02544,1.02561,1.02538,1.02555
2025-02-03 16:10:00,1.02556,1.02563,1.02521,1.02523
2025-02-03 16:11:00,1.02523,1.02572,1.02519,1.02569
2025-02-03 16:12:00,1.02572,1.02604,1.02572,1.02599
2025-02-03 16:13:00,1.02596,1.02613,1.02591,1.02605
2025-02-03 16:14:00,1.02605,1.02613,1.02583,1.02609
2025-02-03 16:15:00,1.02614,1.0264,1.02611,1.02637
2025-02-03 16:16:00,1.02641,1.02647,1.02633,1.02637
2025-02-03 16:17:00,1.02637,1.02654,1.02636,1.02649
2025-02-03 16:18:00,1.02651,1.02659,1.02629,1.02629
2025-02-03 16:19:00,1.0263,1.02651,1.02617,1.02617
2025-02-03 16:20:00,1.02613,1.02618,1.02562,1.02562
2025-02-03 16:21:00,1.02561,1.02578,1.02558,1.02563
2025-02-03 16:22:00,1.02562,1.0258,1.02555,1.02579
2025-02-03 16:23:00,1.02575,1.02591,1.02559,1.02591
2025-02-03 16:24:00,1.0259,1.0263,1.0259,1.02627
2025-02-03 16:25:00,1.02629,1.0264,1.02619,1.02622
2025-02-03 16:26:00,1.02624,1.02636,1.02621,1.02628
2025-02-03 16:27:00,1.02629,1.02629,1.0259,1.02609
2025-02-03 16:28:00,1.02613,1.02622,1.02592,1.02602
2025-02-03 16:29:00,1.02602,1.02618,1.02597,1.02607
2025-02-03 16:30:00,1.02602,1.02614,1.02573,1.02586
2025-02-03 16:31:00,1.02587,1.02589,1.02561,1.02579
2025-02-03 16:32:00,1.0258,1.02584,1.02555,1.0258
