time,open,high,low,close
2025-01-31 16:00:00,154.799,154.799,154.755,154.772
2025-01-31 16:01:00,154.772,154.825,154.76,154.82
2025-01-31 16:02:00,154.82,154.834,154.786,154.8
2025-01-31 16:03:00,154.8,154.811,154.773,154.81
2025-01-31 16:04:00,154.81,154.81,154.787,154.8
2025-01-31 16:05:00,154.799,154.813,154.779,154.813
2025-01-31 16:06:00,154.811,154.814,154.784,154.785
2025-01-31 16:07:00,154.783,154.813,154.777,154.799
2025-01-31 16:08:00,154.799,154.845,154.79,154.844
2025-01-31 16:09:00,154.844,154.87,154.834,154.858
2025-01-31 16:10:00,154.858,154.889,154.858,154.872
2025-01-31 16:11:00,154.881,154.893,154.843,154.892
2025-01-31 16:12:00,154.886,154.924,154.872,154.923
2025-01-31 16:13:00,154.92,154.954,154.911,154.954
2025-01-31 16:14:00,154.952,154.965,154.903,154.91
2025-01-31 16:15:00,154.911,154.96,154.91,154.954
2025-01-31 16:16:00,154.954,154.974,154.942,154.973
2025-01-31 16:17:00,154.974,154.976,154.946,154.953
2025-01-31 16:18:00,154.961,154.962,154.936,154.942
2025-01-31 16:19:00,154.941,154.951,154.91,154.911
2025-01-31 16:20:00,154.912,154.914,154.877,154.882
2025-01-31 16:21:00,154.89,154.919,154.883,154.906
2025-01-31 16:22:00,154.905,154.909,154.882,154.882
2025-01-31 16:23:00,154.868,154.883,154.829,154.831
2025-01-31 16:24:00,154.831,154.855,154.814,154.818
2025-01-31 16:25:00,154.819,154.832,154.809,154.812
2025-01-31 16:26:00,154.812,154.851,154.81,154.844
2025-01-31 16:27:00,154.843,154.872,154.84,154.867
2025-01-31 16:28:00,154.866,154.869,154.846,154.847
2025-01-31 16:29:00,154.848,154.863,154.834,154.856
2025-01-31 16:30:00,154.856,154.908,154.856,154.865
2025-01-31 16:31:00,154.867,154.897,154.857,154.883
2025-01-31 16:32:00,154.884,154.889,154.878,154.883
2025-01-31 16:33:00,154.882,154.904,154.862,154.894
2025-01-31 16:34:00,154.894,154.915,154.893,154.915
2025-01-31 16:35:00,154.906,154.917,154.845,154.851
2025-01-31 16:36:00,154.85,154.86,154.736,154.736
2025-01-31 16:37:00,154.738,154.78,154.731,154.766
2025-01-31 16:38:00,154.766,154.766,154.746,154.749
2025-01-31 16:39:00,154.762,154.798,154.762,154.798
2025-01-31 16:40:00,154.791,154.833,154.791,154.833
2025-01-31 16:41:00,154.831,154.844,154.828,154.844
2025-01-31 16:42:00,154.835,154.845,154.821,154.834
2025-01-31 16:43:00,154.824,154.825,154.803,154.81
2025-01-31 16:44:00,154.81,154.831,154.771,154.772
2025-01-31 16:45:00,154.771,154.785,154.768,154.775
2025-01-31 16:46:00,154.775,154.796,154.737,154.742
2025-01-31 16:47:00,154.742,154.77,154.712,154.761
2025-01-31 16:48:00,154.765,154.768,154.741,154.764
2025-01-31 16:49:00,154.761,154.761,154.719,154.723
2025-01-31 16:50:00,154.723,154.723,154.683,154.684
2025-01-31 16:51:00,154.686,154.707,154.683,154.706
2025-01-31 16:52:00,154.709,154.716,154.663,154.665
2025-01-31 16:53:00,154.666,154.671,154.626,154.627
2025-01-31 16:54:00,154.626,154.628,154.603,154.628
2025-01-31 16:55:00,154.624,154.624,154.592,154.612
2025-01-31 16:56:00,154.611,154.611,154.573,154.582
2025-01-31 16:57:00,154.583,154.583,154.56,154.574
2025-01-31 16:58:00,154.574,154.615,154.573,154.608
2025-01-31 16:59:00,154.612,154.627,154.61,154.62
2025-01-31 17:00:00,154.617,154.697,154.617,154.682
2025-01-31 17:01:00,154.678,154.682,154.647,154.669
2025-01-31 17:02:00,154.666,154.679,154.631,154.671
2025-01-31 17:03:00,154.67,154.676,154.631,154.631
2025-01-31 17:04:00,154.63,154.672,154.609,154.672
2025-01-31 17:05:00,154.671,154.689,154.629,154.649
2025-01-31 17:06:00,154.653,154.653,154.613,154.644
2025-01-31 17:07:00,154.638,154.638,154.596,154.598
2025-01-31 17:08:00,154.598,154.644,154.582,154.635
2025-01-31 17:09:00,154.633,154.675,154.628,154.667
2025-01-31 17:10:00,154.668,154.693,154.653,154.692
2025-01-31 17:11:00,154.692,154.709,154.691,154.697
2025-01-31 17:12:00,154.697,154.698,154.648,154.648
2025-01-31 17:13:00,154.65,154.65,154.62,154.633
2025-01-31 17:14:00,154.634,154.639,154.608,154.621
2025-01-31 17:15:00,154.621,154.642,154.604,154.611
2025-01-31 17:16:00,154.612,154.615,154.595,154.609
2025-01-31 17:17:00,154.608,154.618,154.573,154.584
2025-01-31 17:18:00,154.584,154.633,154.581,154.632
2025-01-31 17:19:00,154.622,154.631,154.603,154.621
2025-01-31 17:20:00,154.619,154.643,154.586,154.626
2025-01-31 17:21:00,154.622,154.661,154.591,154.596
2025-01-31 17:22:00,154.599,154.606,154.581,154.592
2025-01-31 17:23:00,154.592,154.62,154.579,154.62
2025-01-31 17:24:00,154.62,154.62,154.591,154.591
2025-01-31 17:25:00,154.594,154.597,154.539,154.545
2025-01-31 17:26:00,154.544,154.564,154.528,154.532
